Teams,Bos,Bro,Nyk,Phi,Tor,Chi,Cle,Det,Ind,Mil,Atl,Cha,Mia,Orl,Was,Den,Min,Okc,Port,Uta,Gol,Lac,Lal,Pho,Sac,Dal,Hou,Mem,Nol,San
Atl Played,4,4,3,3,4,3,4,4,4,3,0,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Cha Win,0,2,2,0,0,1,0,2,2,2,4,0,0,4,3,1,1,1,0,1,1,1,1,2,2,1,0,2,0,0
Cha Played,3,3,4,4,4,4,3,3,4,4,4,0,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Mia Win,2,1,2,2,2,3,1,2,2,3,3,4,0,2,2,1,1,0,0,2,0,2,1,2,0,2,0,2,0,0
Mia Played,3,4,4,4,3,4,3,4,4,3,4,4,0,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Orl Win,1,1,3,0,0,0,2,2,0,1,2,0,2,0,1,0,1,1,0,0,0,0,1,2,0,1,0,2,1,1
Orl Played,4,4,4,3,3,4,4,3,3,4,4,4,4,0,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Was Win,3,1,2,2,2,2,1,3,2,2,2,1,2,3,0,1,1,1,1,0,0,1,1,1,2,0,1,2,2,1
Was Played,4,3,3,4,4,3,4,4,3,4,4,4,4,4,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Den Win,0,2,1,0,1,2,1,2,1,2,1,1,1,2,1,0,1,3,3,2,2,1,2,2,3,2,0,3,2,2
Den Played,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,4,4,4,4,4,3,4,3,4,4,3,4,3,4
Min Win,0,1,2,0,1,1,1,0,1,1,1,1,1,1,1,3,0,3,2,2,1,4,4,2,3,4,0,1,4,1
Min Played,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,0,4,4,4,3,4,4,4,3,4,4,3,4,3
Okc Win,0,1,1,2,2,2,1,1,2,1,2,1,2,1,1,1,1,0,0,3,2,3,2,2,3,2,2,4,1,2
Okc Played,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,0,4,4,4,3,4,3,4,4,3,4,3,4
Por Win,0,1,2,1,0,2,1,1,2,0,1,2,2,2,1,1,2,4,0,2,2,3,3,4,3,2,0,2,2,1
Por Played,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,0,4,3,4,3,4,4,3,4,4,4,3
Uta Win,1,1,0,0,1,1,1,2,1,1,0,1,0,2,2,2,2,1,2,0,3,3,3,3,3,3,0,3,3,3
Uta Played,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,0,4,4,3,4,3,3,4,3,4,4
Gol Win,1,2,2,2,2,2,2,1,0,1,2,1,2,2,2,2,2,2,1,1,0,3,4,4,2,4,1,2,3,3
Gol Played,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,4,3,4,0,4,4,4,4,4,3,3,4,4
Lac Win,1,2,1,0,2,2,1,1,0,2,2,1,0,2,1,2,0,0,1,1,1,0,3,4,4,2,2,2,1,1
Lac Played,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,3,4,4,4,0,4,4,4,3,4,4,4,3
Lal Win,1,2,1,1,0,2,1,1,1,0,2,1,1,1,1,2,0,2,0,0,0,1,0,3,2,3,1,2,0,3
Lal Played,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,3,3,4,4,0,4,4,4,4,4,3,3
Pho Win,0,1,0,1,0,2,0,0,0,0,1,0,0,0,1,1,2,1,0,1,0,0,1,0,3,3,0,3,0,0
Pho Played,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,3,4,4,4,4,4,0,4,3,4,4,3,4
Sac Win,0,2,1,2,0,2,1,0,0,0,1,0,2,2,0,1,0,1,1,0,2,0,2,1,0,2,1,1,2,0
Sac Played,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,4,4,3,4,4,4,4,0,4,3,3,4,4
Dal Win,0,0,1,0,1,0,0,1,2,1,0,1,0,1,2,2,0,2,1,0,0,1,1,0,2,0,0,3,1,1
Dal Played,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,3,3,4,3,4,3,4,0,4,4,4,4
Hou Win,1,2,2,1,0,2,2,1,2,2,2,2,2,2,1,3,4,1,4,4,2,2,3,4,2,4,0,2,3,3
Hou Played,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,3,4,4,3,4,4,4,3,4,0,4,4,4
Mem Win,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,2,0,2,0,1,2,2,1,2,1,2,0,2,0
Mem Played,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,4,4,3,3,4,4,4,3,4,4,0,4,4
Nol Win,2,2,1,1,0,2,1,2,2,2,1,2,2,1,0,1,0,2,2,1,1,3,3,3,2,3,1,2,0,3
Nol Played,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,3,4,4,4,4,3,3,4,4,4,4,0,4
San Win,1,2,2,0,1,2,2,1,0,0,1,2,2,1,1,2,2,2,2,1,1,2,0,4,4,3,1,4,1,0
San Played,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,4,3,4,4,3,3,4,4,4,4,4,4,0
